Time,Time Code,Country Name,Country Code,Total tax and contribution rate,Time required to get electricity (days) [IC.ELC.TIME],Start-up procedures to register a business (number) [IC.REG.PROC],Labor tax and contributions,"Time required to start a business, female (days)","Time required to start a business, male (days)",Time required to start a business (days),Time required to register property (days) [IC.PRP.DURS],Time required to build a warehouse (days) [IC.WRH.DURS]
2009,YR2009,Sri Lanka,LKA,61.7,126,9,16.9,44,44,44,71,177
2009,YR2009,Sweden,SWE,53.9,52,3,36.6,16,16,16,15,147
2009,YR2009,Switzerland,CHE,28.7,39,6,16.6,18,18,18,16,156
2009,YR2009,United Kingdom,GBR,34.9,108,6,11,11.5,11.5,11.5,28.5,100
2009,YR2009,Ukraine,UKR,57.2,288,11,43.3,28,28,28,113,526
2009,YR2009,United States,USA,..,..,..,..,..,..,..,..,..
2009,YR2009,Thailand,THA,35.8,37,9,5.7,34,34,34,9,171
2009,YR2009,Spain,ESP,55.8,148,10,34.2,61,61,61,13.5,193
2009,YR2009,Saudi Arabia,SAU,14.7,68,14,12.4,28.5,26.5,27.3,8,123
2009,YR2009,Pakistan,PAK,..,..,..,..,..,..,..,..,..
2009,YR2009,Philippines,PHL,47.1,42,18,9.8,34,34,34,35,129
2009,YR2009,India,IND,..,..,..,..,..,..,..,..,..
2010,YR2010,Sri Lanka,LKA,96.6,126,9,16.9,38,38,38,71,177
2010,YR2010,Sweden,SWE,52.1,52,3,35.4,16,16,16,7,147
2010,YR2010,Switzerland,CHE,28.8,39,6,17.5,18,18,18,16,156
2010,YR2010,United Kingdom,GBR,36.1,108,6,10.8,11.5,11.5,11.5,28.5,100
2010,YR2010,Ukraine,UKR,55.5,288,11,43.3,28,28,28,117,403
2010,YR2010,United States,USA,..,..,..,..,..,..,..,..,..
2010,YR2010,Thailand,THA,35.8,37,9,5.7,34,34,34,9,171
2010,YR2010,Spain,ESP,55.3,148,10,33.7,52,52,52,13.5,193
2010,YR2010,Saudi Arabia,SAU,14.7,68,14,12.4,28.5,26.5,27.3,8,112
2010,YR2010,Pakistan,PAK,..,..,..,..,..,..,..,..,..
2010,YR2010,Philippines,PHL,43.8,42,18,9.8,29,29,29,35,129
2010,YR2010,India,IND,..,..,..,..,..,..,..,..,..
2011,YR2011,Sri Lanka,LKA,112.9,126,9,16.9,35,35,35,71,177
2011,YR2011,Sweden,SWE,52.1,52,3,35.4,16,16,16,7,147
2011,YR2011,Switzerland,CHE,28.9,39,6,17.6,18,18,18,16,156
2011,YR2011,United Kingdom,GBR,36.2,108,6,11,11.5,11.5,11.5,28.5,86
2011,YR2011,Ukraine,UKR,57.1,288,10,43.3,25,25,25,117,403
2011,YR2011,United States,USA,..,..,..,..,..,..,..,..,..
2011,YR2011,Thailand,THA,35.9,37,8,5.7,32,32,32,9,171
2011,YR2011,Spain,ESP,37.6,148,10,35.5,29,29,29,13.5,193
2011,YR2011,Saudi Arabia,SAU,14.7,68,14,12.4,28.5,26.5,27.3,8,106
2011,YR2011,Pakistan,PAK,..,..,..,..,..,..,..,..,..
2011,YR2011,Philippines,PHL,44.5,42,17,10.8,28,28,28,35,129
2011,YR2011,India,IND,..,..,..,..,..,..,..,..,..
2012,YR2012,Sri Lanka,LKA,55.3,126,9,16.9,11,11,11,50,176
2012,YR2012,Sweden,SWE,52.1,52,3,35.4,16,16,16,30,117
2012,YR2012,Switzerland,CHE,29.4,39,6,17.8,18,18,18,16,156
2012,YR2012,United Kingdom,GBR,35,104,6,10.9,11.5,11.5,11.5,28.5,86
2012,YR2012,Ukraine,UKR,55.4,288,8,43.1,23,23,23,69,380
2012,YR2012,United States,USA,..,..,..,..,..,..,..,..,..
2012,YR2012,Thailand,THA,36.1,37,7,5.7,31,31,31,9,161
2012,YR2012,Spain,ESP,37.6,148,11,35.5,30,30,30,13.5,193
2012,YR2012,Saudi Arabia,SAU,14.7,68,14,12.4,25.5,23.5,24.3,8,106
2012,YR2012,Pakistan,PAK,..,..,..,..,..,..,..,..,..
2012,YR2012,Philippines,PHL,44.5,42,17,10.8,28,28,28,35,128
2012,YR2012,India,IND,..,..,..,..,..,..,..,..,..
2013,YR2013,Sri Lanka,LKA,57,104,9,16.9,11,11,11,51,168
2013,YR2013,Sweden,SWE,52.1,52,3,35.4,16,16,16,28,117
2013,YR2013,Switzerland,CHE,28.8,39,6,17.7,18,18,18,16,156
2013,YR2013,United Kingdom,GBR,34.7,79,6,11.4,11.5,11.5,11.5,21.5,86
2013,YR2013,Ukraine,UKR,54.4,263,7,43.1,22,22,22,45,96
2013,YR2013,United States,USA,43.8,89.6,6,9.7,6.2,6.2,6.2,15.2,80.6
2013,YR2013,Thailand,THA,28.7,37,7,4,31,31,31,9,161
2013,YR2013,Spain,ESP,56.9,132,11,35.2,24,24,24,13.5,148
2013,YR2013,Saudi Arabia,SAU,14.6,68,14,12.4,26,24,24.8,8,106
2013,YR2013,Pakistan,PAK,32.4,180.7,13,12.6,20,20,20,156.5,285.5
2013,YR2013,Philippines,PHL,42.5,42,17,8,28,28,28,35,122
2013,YR2013,India,IND,55.7,115.61,14,20.8,32.65,32.65,32.6,63.1,183.72
2014,YR2014,Sri Lanka,LKA,55.4,104,9,16.9,11,11,11,51,168
2014,YR2014,Sweden,SWE,49.1,52,3,35.4,16,16,16,14,117
2014,YR2014,Switzerland,CHE,28.8,39,6,17.7,10,10,10,16,156
2014,YR2014,United Kingdom,GBR,33.5,79,6,11.3,6,6,6,21.5,86
2014,YR2014,Ukraine,UKR,52.7,263,7,43.1,22,22,22,27,85
2014,YR2014,United States,USA,43.8,89.6,6,9.7,5.6,5.6,5.6,15.2,80.6
2014,YR2014,Thailand,THA,26,37,7,4.3,31,31,31,9,133
2014,YR2014,Spain,ESP,57.9,132,7,35.4,14,14,14,13,148
